순위,제목,저자,출판사,요약
267,파이썬으로 시작하는 머신러닝+딥러닝,강지영,아이리포,"시중에는 이미 머신러닝, 딥러닝 책이 많이 출간되어 있습니다. 이들 책은 대부분 머신러닝, 딥러닝 모델을 수학적으로 분석하고 사이킷런과 텐서플로우에서 제공하는 많은 기능을 상세하게 설명하고 있어서"
268,그림으로 배우는 Java Programming(2판),Mana Takahashi,영진닷컴,『그림으로 배우는 Java Programming』은 프로그래밍 경험이 없더라도 Java를 기초부터 심화 내용까지 Java의 모든 것을 그림으로 쉽게 설명해주는 Java 입문서이다. 기존 출간되었던 ‘그림으로 배우는 Java
269,파이썬으로 챗봇 만들기,Sumit Raj,영진닷컴,"파이썬으로 챗봇을 빠르게 구현하고 배포하는 데 필요한 모든 정보를 담았다. 고통스럽지 않을 정도의 학습량과 실습으로 준수하게 동작하는 챗봇을 구현해 보자. 실생활 예제로 챗봇 관련 개념을 배우고, 구글의"
270,코딩은 처음이라 with 자바,유동환,영진닷컴,"Part1 자바 입문
자바의 역사와 특징에 관해서 설명하고 VS Code 기반의 자바 개발 환경을 설치합니다. 자바를 왜 배워야 하는지에 대해서도 다루며 ‘Hello World!’를 직접 손코딩하고 실행해봅니다.

Part2"
271,프로그래밍이 보이는 그림책,ANK CO LTD,성안당,『프로그래밍이 보이는 그림책』은 펼친 양면을 하나의 주제로 완결시켜 이미지가 흩어지지 않도록 배치되어 있어 나중에 필요한 부분을 찾는 데도 유용하게 사용할 수 있다. 각 주제는 어려운 설명을 최대한
272,C 기초 플러스(6판),Stephen Prata,성안당,"『C 기초 플러스』는 프로그래머와 디벨로퍼들이 반드시 알아야 할 핵심 주제를 세심하게 테스트하고, 정교하게 다듬어 제공하는 완벽한 C언어 지침서이다. 바로 이전의 5판까지 전 세계적으로 55만부가 판매된,"
273,C가 보이는 그림책(개정증보판),"ANK Co., Ltd.",성안당,"C 언어 입문서의 스테디셀러 가 리뉴얼됐습니다!
출간 이후 꾸준하게 사랑받아 온 C 언어 해설서인 은 프로그램을 아무것도 몰라도 공부를 시작할 수 있는 입문서입니다."
274,C#이 보이는 그림책(개정증보판),"ANK Co., Ltd.",성안당,▶ 이 책은 C#이 보이는 그림책을 다룬 이론서입니다. C#이 보이는 그림책의 기초적이고 전반적인 내용을 학습할 수 있습니다.
275,이젠 나도! 자바(지금 시작해도 괜찮아),이지선,성안당,"코딩을 처음 배우는 경우에는 언어의 문법을 배우고 나서 스스로 코드를 작성할 때, 어려움을 겪는 경우가 많습니다. 문법에 맞게 논리적인 코드를 작성하는 과정이 어렵기 때문입니다. 이 책에서는 문법을 꼼꼼히"
276,Scratch가 보이는 그림책,"ANK Co., Ltd.",성안당,스크래치는 MIT(scratch.mit.edu)에서 8~16세 연령층을 위해 개발했지만 전 연령에서 사용되는 그래픽 환경으로 프로그래밍 경험을 해보도록 개발한 키즈 코딩 개발환경이다. PC나 태블릿에서 사용할 수 있으며
277,파이썬을 이용한 공학 프로그래밍,손재범,성안당,대경혁신인재양성프로젝트 혁신아카데미사업(약칭 HuStar)의 일환으로 만들어진 이 책은 대구경북첨단의료산업진흥재단에서 기수를 거듭하며 보완된 학생 대상 프로그래밍 강의 자료를 체계적으로 정리해 펴낸
278,파이썬 2학년 데이터 분석 구조,모리 요시나오,성안당,"- 구성 및 특징
① 기초 지식을 알 수 있다.
② 프로그램의 구조를 알 수 있다.
③ 개발 체험을 할 수 있다."
279,VTK 프로그래밍,김영준,일진사,"『VTK 프로그래밍』은 가시화 라이브러리인 VTK는 3차원 컴퓨터그래픽스, 영상 처리, 가시화 등과 관련된 방대한 양의 기능을 제공한다. 이 책은 C++ 및 MFC에 익숙한 사용자들이 VTK를 쉽게 사용할 수 있는"
280,R Shiny 프로그래밍 가이드,고석범,한나래아카데미,‘R 샤이니(Shiny) 패키지’는 R의 뛰어난 데이터 분석 능력 기능이 확장된 웹 애플리케이션 프레임워크이다. 이 책은 R 샤이니의 그 눈부신 면을 탐구하려는 독자들을 위한 안내서다. 이 책을 통해 독자들은 R
281,초보자를 위한 C 언어 300제(2판),김은철,정보문화사,"프로그래머 대부분이 프로그래밍을 처음 시작할 때 먼저 접하게 되는 것이 C 언어이다. 프로그래머가 되기 위해서 반드시 C 언어가 필요한가에 대한 질문에 그렇지 않다고 말하는 사람도 있을 수 있지만, C 언어를"
282,초보자를 위한 파이썬(Python) 200제,장삼용,정보문화사,본서는 200개의 예제로 파이썬을 마스터할 수 있도록 구성되었다. 기초적인 개념에 대해 배우는 1파트 ‘Python 프로그래밍 첫발 내딛기’를 시작으로 5파트 ‘Python으로 간단한 프로그램 작성하기’까지 다양한
283,예제가 가득한 C 언어 길라잡이(개정증보판),김은철,정보문화사,프로그래머라면 누구나 한 번쯤 배우게 되는 것이 C 언어입니다. C 언어를 공부할 때 가장 중요한 것은 손가락이 코드를 이해해야 합니다. 머리는 생각하고 있지 않은데 손은 이미 코드를 입력하고 있다면 그것이
284,초보자를 위한 C++ 200제(2판),박준태,정보문화사,C++ 공부하기 위한 입문자가 개발 환경을 구축하기 위해 Visual Studio를 설치하고 시작할 수 있도록 자세하게 안내하면서 시작한다. 다양한 분야에서 활용되는 C++은 내가 원하는 일을 하게 할 수 있는 장점을
285,완벽한 IT 인프라 구축을 위한 Docker(2판),Asa Shiho,정보문화사,이 책은 컨테이너 기술을 사용한 애플리케이션 실행 환경 플랫폼인 ‘Docker’를 사용하여 인프라를 구축하기 위한 입문서입니다. 특히 온프레미스 서버(물리 환경)에 대한 구축 경험이 적은 애플리케이션
286,실무자를 위한 파이썬 100제,오승환,정보문화사,"이 책은 파이썬이 필요해 공부를 시작했는데, 기초는 끝냈고 더 깊고 넓은 방향으로 배워보고 싶은 사람들을 대상으로 했다. 파이썬 기초 문법을 익혔다면 이 책을 통해 다양한 라이브러리 활용까지 도전해볼 수"
287,R 데이터 분석 머신러닝,조민호,정보문화사,"데이터 분석을 하기 위한 도구와 분석 요령을 배우기 위한 입문자들을 위한 도서로, 복잡한 수학이나 어려운 통계학적 이론은 빼고 꼭 필요한 정보만 이해할 수 있도록 예제와 함께 설명하고 있다. 특히 R을"
288,VISUAL BASIC .NET PROGRAMMING,이철원,내하출판사,"[머리말]

본서는 Mocrosoft사의 Visual Basic .NET 2003을 기반으로 하여 작성한 프로그래밍 입문서이며, 프로그램을 처음 접하는 사람에게 적합한 책이 될 것이다. 많은 따라하기 예제를 제공하였고, .NET"
289,코드업과 함께 하는 파이썬 & 문제 해결,배준호,삼양미디어,"이 책은 코드업 온라인 저지를 활용한 파이썬 프로그래밍 학습용 교재입니다. 프로그래밍의 본질인 문제 해결 방법을 익히는 데 초점을 두어 따라하기 형태의 기본 예제를 통해 코드를 확인하고, 핵심 내용을"
290,특강마스터 파이썬 마스터 3급,김상민,렉스미디어닷넷,"[구성 및 특징]

ㆍ 파이썬 프로그램의 출제 기능을 쉽게 설명
ㆍ 파이썬 3급 출제 기준을 분석하여 예상 문제 제공
ㆍ CBT 모의시험 방법 안내, 모의고사 8회 / 정답 및 해설 제공"
291,자바 병렬 프로그래밍(멀티코어를 100% 활용하는),브라이언 게츠,에이콘출판,"이 책은 자바 병렬 프로그래밍 참고 매뉴얼이다. 병렬 처리 관련 기능에 어떤 것이 있고, 어떻게 사용하는지에 대한 방법뿐 아니라, 그 내부에 숨어 있는 디자인 패턴과 그 패턴을 사용한 원론적인 이유도"
292,마이바티스 프로그래밍(에이콘 오픈소스 프로그래밍 시리즈 21)(Paperback),이동국,에이콘출판,"JDBC를 대체하는 쉽고 빠른 자바 데이터베이스 프레임워크 『마이바티스 프로그래밍』.  마이바티스(MyBatis)는 JDBC를 대체하는 자바 퍼시스턴스 프레임워크로, 국내에서 인기 있는 퍼시스턴스 프레임워크인"
293,기업 통합 패턴 Enterprise Integration Patterns,그레거 호프,에이콘출판,기업 내 복잡한 분산 애플리케이션들을 통합하려면 어떻게 해야 할까? IT 역사만큼이나 오래됐지만 여전히 가장 어려운 이 질문에 기업 통합 패턴은 시대를 초월한 해결책을 제시한다. 이 책의 메시징 기반 65개
294,파이썬을 활용한 네트워크 프로그래밍(acorn+PACKT 시리즈),파루크 사커,에이콘출판,[파이썬을 활용한 네트워크 프로그래밍]은 네트워크 애플리케이션을 전문적으로 다루려는 개발자부터 시스템 관리자까지 유용한 정보를 제공하는 책이다. 책에서는 TCP/IP 네트워크 클라이언트/서버 애플리케이션
295,Programming: Principles and Practice Using C++(한국어판)(에이콘 프로그래밍 언어 시리즈),비야네 스트롭스트룹,에이콘출판,"‘오래가는 프로그래머’, ‘존경받는 프로그래머’가 되고 싶다면 초보 프로그래머에서 익숙한 개발자까지 누구나 곁에 두고 읽어야 할 필독서다. 실용적인 예제를 바탕으로 최신 C++ 표준인 C++11과 C++14의"
296,유쾌한 파이썬(acorn+PACKT 시리즈),스티븐 로트,에이콘출판,"파이썬은 배우기 쉽고 활용도가 높은 언어이지만, 처음 파이썬을 배운 사람이라면 그 언어를 어떤 곳에 활용할 수 있을지 궁금하기 마련이다. 이 책에서는 가상의 비밀 요원이 파이썬을 활용해 기초적인 데이터"
297,The C++ Programming Language(4판)(에이콘 프로그래밍 언어 시리즈),비야네 스트롭스트룹,에이콘출판,"이 책은 C++의 창시자인 비야네 스트롭스트룹이 직접 쓴 책으로, 2011년 발표된 ISO C++11 표준을 반영한 최신판이다. C++11에 와서 C++는 큰 변화를 겪었으며, 그 결과 더 나아진 프로그래밍 언어가 됐다. 이런"
298,마이바티스 프로그래밍 원리와 활용(오픈소스 프로그래밍),심익찬,에이콘출판,[마이바티스 프로그래밍 원리와 활용]은 마이바티스 프로그래밍에 대한 풍부한 설명과 그림을 제공함으로써 독자가 개발에 쉽게 접근할 수 있도록 안내한다. SQL 매퍼 프레임워크에 대한 기본 개념뿐만 아니라
299,HLSL 프로그래밍(acorn+PACKT 시리즈),도론 파인스타인,에이콘출판,하드웨어의 발전으로 3D 그래픽은 점점 현실적이고 복잡한 표현이 가능해지고 있다. 고급 셰이더 언어(HLSL)는 이전까지 보지 못했던 3D 렌더링의 세계로 우리를 이끈다. 이 책은 이러한 HLSL의 기능을 실용적인
300,The Go Programming Language(에이콘 프로그래밍 언어 시리즈),앨런 도노반,에이콘출판,"Go를 배우고자 하는 모든 개발자를 위한 『The Go Programming Language 한국어판』. 이 책은 구글 Go 개발팀의 일원인 앨런 도노반과 C언어의 대가인 브라이언 커니핸이 직접 쓴 책으로, Go의 언어적 특징과 표준"
